gene_id	gene_name	gene_type	param	colors	labels	module	kme
ENSG00000008394.13	MGST1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.3808461223904717
ENSG00000008735.14	MAPK8IP2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.4395216057154888
ENSG00000010030.14	ETV7	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6200580620459064
ENSG00000010310.9	GIPR	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.6312292921868936
ENSG00000010610.10	CD4	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.9246851357495252
ENSG00000010932.17	FMO1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5267254582171945
ENSG00000011201.12	ANOS1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5296569032770686
ENSG00000011332.19	DPF1	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.324713567311361
ENSG00000011347.10	SYT7	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.5861660718539988
ENSG00000011465.18	DCN	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8236957466504258
ENSG00000011677.13	GABRA3	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.47297302958379317
ENSG00000012171.20	SEMA3B	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.32125897234910183
ENSG00000013297.12	CLDN11	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6069987351037432
ENSG00000013588.9	GPRC5A	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.0885040493331297
ENSG00000013725.14	CD6	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.871073828006981
ENSG00000014257.16	ACP3	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.6595837366565312
ENSG00000016402.13	IL20RA	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.5501435233371821
ENSG00000016602.9	CLCA4	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.6922495890143978
ENSG00000017483.15	SLC38A5	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.5155460120657108
ENSG00000019169.10	MARCO	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.34420821517696665
ENSG00000019186.10	CYP24A1	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.26089333785323754
ENSG00000019582.15	CD74	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8995708498117225
ENSG00000019991.18	HGF	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6877137178338657
ENSG00000020181.18	ADGRA2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8696167933360165
ENSG00000021826.17	CPS1	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.03886430720098028
ENSG00000022267.19	FHL1	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.7206523992074174
ENSG00000022556.16	NLRP2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.06096081420359644
ENSG00000023445.16	BIRC3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.5021420422852337
ENSG00000023839.12	ABCC2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.32423307658319794
ENSG00000025039.15	RRAGD	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.535801053869196
ENSG00000026559.14	KCNG1	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.24923576912563714
ENSG00000026751.17	SLAMF7	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.7604983050882643
ENSG00000029534.21	ANK1	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.3124554668095456
ENSG00000030419.16	IKZF2	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.7110030411285906
ENSG00000034053.14	APBA2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6351806332260153
ENSG00000036448.10	MYOM2	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.6782057555604033
ENSG00000036672.16	USP2	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.673210249386593
ENSG00000037965.6	HOXC8	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.27994994807614615
ENSG00000038295.8	TLL1	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.740077991331644
ENSG00000038427.16	VCAN	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.9154675007781992
ENSG00000038945.15	MSR1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6567926215506675
ENSG00000039139.9	DNAH5	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.44944492924930285
ENSG00000041982.16	TNC	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.681339988884195
ENSG00000042062.13	RIPOR3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.42278905996260563
ENSG00000042832.12	TG	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5696797631584772
ENSG00000042980.13	ADAM28	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6384737274183476
ENSG00000043039.7	BARX2	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.4002384417744415
ENSG00000043355.12	ZIC2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.415805503423088
ENSG00000044524.11	EPHA3	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.7523239460906977
ENSG00000047457.14	CP	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5501920253905604
ENSG00000047597.7	XK	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.4848679250769145
ENSG00000048052.22	HDAC9	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.23362564202642497
ENSG00000049089.15	COL9A2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5693606297075747
ENSG00000049249.9	TNFRSF9	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8301393539593754
ENSG00000049323.16	LTBP1	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.6484713884040456
ENSG00000049540.18	ELN	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6848337332737376
ENSG00000049768.16	FOXP3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8755901435203064
ENSG00000050344.9	NFE2L3	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5148396873133466
ENSG00000050438.17	SLC4A8	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.3032629980750398
ENSG00000050555.19	LAMC3	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.46151203735519297
ENSG00000050628.20	PTGER3	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.668506517021048
ENSG00000050730.16	TNIP3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.41160506317671064
ENSG00000053108.17	FSTL4	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6027568076788538
ENSG00000053747.17	LAMA3	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.7892822268303333
ENSG00000054179.12	ENTPD2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.15189435400853069
ENSG00000054219.11	LY75	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.3883632408923957
ENSG00000055163.20	CYFIP2	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.7474315739824878
ENSG00000056736.10	IL17RB	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6927617442566019
ENSG00000057149.16	SERPINB3	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.6194200805482791
ENSG00000057294.15	PKP2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.1478875450608246
ENSG00000058085.15	LAMC2	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.811131746464559
ENSG00000058091.17	CDK14	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.562126947619461
ENSG00000058335.16	RASGRF1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.3525670353366105
ENSG00000058866.15	DGKG	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.424923259307487
ENSG00000060718.22	COL11A1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.7358906985956457
ENSG00000060982.15	BCAT1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5010862535637325
ENSG00000062282.15	DGAT2	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.32409788063520556
ENSG00000063127.16	SLC6A16	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6596446955341099
ENSG00000064042.18	LIMCH1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.45615971656699195
ENSG00000064195.7	DLX3	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.6573268744619339
ENSG00000064270.13	ATP2C2	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.36962958823701136
ENSG00000064300.9	NGFR	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.11750955879734609
ENSG00000064655.19	EYA2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6991416986070208
ENSG00000064692.20	SNCAIP	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.3834684788281153
ENSG00000064787.13	BCAS1	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.6672429486144419
ENSG00000064886.14	CHI3L2	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.5033189363203434
ENSG00000065320.9	NTN1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.464126189781258
ENSG00000065534.19	MYLK	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.49766595459058377
ENSG00000065618.21	COL17A1	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.674171129237877
ENSG00000065621.15	GSTO2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.19737438250221098
ENSG00000065675.15	PRKCQ	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.31315210387110914
ENSG00000065717.15	TLE2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6278767174769547
ENSG00000065833.9	ME1	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.6351297404340557
ENSG00000066230.12	SLC9A3	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.37519130122668953
ENSG00000066248.15	NGEF	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.34030552688498017
ENSG00000066294.15	CD84	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.9009773805355539
ENSG00000066735.14	KIF26A	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.4032071479633451
ENSG00000066923.17	STAG3	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.7292544656886822
ENSG00000067191.16	CACNB1	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.7436304861427578
ENSG00000067445.21	TRO	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6832971755446795
ENSG00000067798.16	NAV3	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.6133611617733445
ENSG00000068078.20	FGFR3	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.42949221181475195
ENSG00000068615.19	REEP1	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.3423898964871452
ENSG00000069188.17	SDK2	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.5156030305104331
ENSG00000069431.11	ABCC9	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.7669667220914477
ENSG00000069535.14	MAOB	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.41800557577820674
ENSG00000069702.11	TGFBR3	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5317148318678568
ENSG00000069812.11	HES2	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.5086042171818522
ENSG00000070087.14	PFN2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.5014168560394272
ENSG00000070182.21	SPTB	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.7539656107153206
ENSG00000070404.10	FSTL3	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.7350842025789542
ENSG00000070526.15	ST6GALNAC1	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.7395742684447627
ENSG00000070729.14	CNGB1	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.7656934200461999
ENSG00000071794.16	HLTF	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.49408611981002765
ENSG00000071909.19	MYO3B	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.341274624252166
ENSG00000072041.17	SLC6A15	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.3924407905712272
ENSG00000072195.15	SPEG	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.3853006208883995
ENSG00000072858.11	SIDT1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6447631514795874
ENSG00000072954.7	TMEM38A	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.5303900601066527
ENSG00000073150.14	PANX2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.40931988219160087
ENSG00000073464.13	CLCN4	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5062369092487453
ENSG00000073605.18	GSDMB	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.5918311706415472
ENSG00000073737.17	DHRS9	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.6148628672888777
ENSG00000073756.12	PTGS2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.02261939957156546
ENSG00000073792.16	IGF2BP2	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.31403321399559464
ENSG00000073849.16	ST6GAL1	protein_coding	twok_3p_v1	purple	10	Mod10 (purple)	0.7436462910140559
ENSG00000073861.3	TBX21	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8771607007560938
ENSG00000073910.22	FRY	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6263546350213894
ENSG00000074047.22	GLI2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.3996215728416674
ENSG00000074211.14	PPP2R2C	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.6776556528171961
ENSG00000074410.14	CA12	protein_coding	twok_3p_v1	red	6	Mod6 (red)	0.37109410721695724
ENSG00000075213.11	SEMA3A	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.4589832002179861
ENSG00000075223.14	SEMA3C	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.7369321997723438
ENSG00000075340.23	ADD2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.45401422157349397
ENSG00000075673.12	ATP12A	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.47973348759293416
ENSG00000075826.17	SEC31B	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.8866892333877401
ENSG00000076662.10	ICAM3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8119828343800216
ENSG00000076716.9	GPC4	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5370295908124243
ENSG00000077063.11	CTTNBP2	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6781744075290586
ENSG00000077092.19	RARB	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6026858610977793
ENSG00000077420.16	APBB1IP	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.9391162018001642
ENSG00000077984.6	CST7	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8834610274881971
ENSG00000078018.20	MAP2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.3095470040237355
ENSG00000078053.17	AMPH	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8399303572268251
ENSG00000078081.8	LAMP3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.4652108587191856
ENSG00000078098.14	FAP	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6881023868891011
ENSG00000078114.19	NEBL	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.6342134220872827
ENSG00000078589.13	P2RY10	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.9343090723024975
ENSG00000078814.17	MYH7B	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.6251831336381516
ENSG00000079102.16	RUNX1T1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8522941061275103
ENSG00000079263.19	SP140	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.7697046524426687
ENSG00000079385.23	CEACAM1	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.6811968888958273
ENSG00000079931.15	MOXD1	protein_coding	twok_3p_v1	purple	10	Mod10 (purple)	0.40030072882935197
ENSG00000080031.10	PTPRH	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.37134594693738454
ENSG00000080200.10	CRYBG3	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.13295527223547743
ENSG00000080854.16	IGSF9B	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5048745723828867
ENSG00000081041.9	CXCL2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.24707310466430588
ENSG00000081052.13	COL4A4	protein_coding	twok_3p_v1	purple	10	Mod10 (purple)	0.596940917855511
ENSG00000081189.16	MEF2C	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.8376932726465939
ENSG00000081237.20	PTPRC	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.9420290136815688
ENSG00000081818.4	PCDHB4	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6485434910071378
ENSG00000081853.15	PCDHGA2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5027349190163022
ENSG00000081985.13	IL12RB2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.3732164065639964
ENSG00000082074.19	FYB1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6953528015679314
ENSG00000082196.21	C1QTNF3	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5371635835054972
ENSG00000082497.12	SERTAD4	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5354743584426673
ENSG00000082684.16	SEMA5B	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.48761723952419145
ENSG00000083454.22	P2RX5	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.46495180841206096
ENSG00000083807.10	SLC27A5	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6059054414601129
ENSG00000084110.11	HAL	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.6567581308466557
ENSG00000084710.14	EFR3B	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.3005052140912988
ENSG00000085265.11	FCN1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.5913406643254118
ENSG00000085276.19	MECOM	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6064014687530409
ENSG00000085563.15	ABCB1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.7103773446465794
ENSG00000085831.15	TTC39A	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.6553036412352098
ENSG00000086205.18	FOLH1	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.43530921308313025
ENSG00000086289.12	EPDR1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.807399931620897
ENSG00000086548.9	CEACAM6	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.7394024749242051
ENSG00000086570.12	FAT2	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	-0.1685316534598746
ENSG00000086696.11	HSD17B2	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.3924949302555343
ENSG00000087085.16	ACHE	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.7146178989657485
ENSG00000087116.16	ADAMTS2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8765608171850757
ENSG00000087128.10	TMPRSS11E	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.7552639707297032
ENSG00000087245.13	MMP2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8157148604424258
ENSG00000087303.18	NID2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.822245569260295
ENSG00000087494.16	PTHLH	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.5945802933158456
ENSG00000088002.12	SULT2B1	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.9036167070541474
ENSG00000088340.17	FER1L4	transcribed_unitary_pseudogene	twok_3p_v1	pink	8	Mod8 (pink)	0.7271773441331203
ENSG00000088386.17	SLC15A1	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.5389723307705602
ENSG00000088538.13	DOCK3	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.3667115822273376
ENSG00000088756.13	ARHGAP28	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5685724005075748
ENSG00000088827.12	SIGLEC1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8047228665937175
ENSG00000088836.14	SLC4A11	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5791807540767309
ENSG00000088882.8	CPXM1	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.7830780368926775
ENSG00000088992.18	TESC	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6955919166443155
ENSG00000089012.14	SIRPG	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.924263133144696
ENSG00000089041.17	P2RX7	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.3891497095111823
ENSG00000089116.4	LHX5	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.37920305519641906
ENSG00000089356.18	FXYD3	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.6824545137881505
ENSG00000089472.16	HEPH	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.8783619301563567
ENSG00000089692.9	LAG3	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.8215092433604703
ENSG00000089820.16	ARHGAP4	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.5683712250413644
ENSG00000090104.12	RGS1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6993968807105012
ENSG00000090382.7	LYZ	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.7825717749349007
ENSG00000090530.10	P3H2	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.417658012459222
ENSG00000090659.18	CD209	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.6776196795163092
ENSG00000091129.21	NRCAM	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.5661901078160924
ENSG00000091513.16	TF	protein_coding	twok_3p_v1	black	7	Mod7 (black)	0.4534616394009211
ENSG00000091656.19	ZFHX4	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.40178537781901646
ENSG00000091831.24	ESR1	protein_coding	twok_3p_v1	blue	2	Mod2 (blue)	0.42048767198708425
ENSG00000091972.18	CD200	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.6355259851836637
ENSG00000091986.16	CCDC80	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.780115881263991
ENSG00000092068.20	SLC7A8	protein_coding	twok_3p_v1	green	5	Mod5 (green)	0.3798658993722348
ENSG00000092295.12	TGM1	protein_coding	twok_3p_v1	yellow	4	Mod4 (yellow)	0.8587798262804132
ENSG00000092421.17	SEMA6A	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.4354946526811819
ENSG00000092529.25	CAPN3	protein_coding	twok_3p_v1	pink	8	Mod8 (pink)	0.526219736140889
ENSG00000092607.15	TBX15	protein_coding	twok_3p_v1	magenta	9	Mod9 (magenta)	0.6307803908665301
ENSG00000092621.13	PHGDH	protein_coding	twok_3p_v1	turquoise	1	Mod1 (turquoise)	0.6282672540066488
ENSG00000092758.18	COL9A3	protein_coding	twok_3p_v1	grey	0	Mod0 (grey)	0.252152425325608
ENSG00000092969.12	TGFB2	protein_coding	twok_3p_v1	brown	3	Mod3 (brown)	0.5275908493562383
