"Antigen Id" "Antibody Name" "Antibody Origin" "Validation Status" gene_name
AGID00143 MEK1_pS217_S221 R V MAP2K1
AGID00143 MEK1_pS217_S221 R V MAP2K2
AGID00201 MEK2 R V MAP2K2
AGID00338 MERIT40_pS29 R V BABAM1
AGID00137 MIG6 R V ERRFI1
AGID00403 MITF R V MITF
AGID00321 Mitofusin-1 R V MFN1
AGID00322 Mitofusin-2 R V MFN2
AGID00389 MLH1 M V MLH1
AGID00312 MLKL R V MLKL
AGID00402 MMP14 R V MMP14
AGID00045 MMP2 R V MMP2
AGID00122 Mnk1 R V MKNK1
AGID00232 MTCO1 M V COX1
AGID00046 mTOR R V MTOR
AGID00173 Myosin-IIa_pS1943 R V MYH9
AGID00418 N-Cadherin R V CDH2
AGID00162 N-Ras M V NRAS
AGID00156 NDRG1_pT346 R V NDRG1
AGID02133 NDUFB4 R V NDUFB4
AGID02155 Notch1 R V NOTCH1
AGID00340 Notch1-cleaved R V NOTCH1
AGID00258 NQO1 M V NQO1
AGID00099 p27_pT198 R V CDKN1B
AGID00181 p38-a M V MAPK14
AGID00049 p38-MAPK R V MAPK11
AGID00049 p38-MAPK R V MAPK12
AGID00049 p38-MAPK R V MAPK14
AGID00098 p38-MAPK-_pT180_Y182 R V MAPK11
AGID00098 p38-MAPK-_pT180_Y182 R V MAPK12
AGID00098 p38-MAPK-_pT180_Y182 R V MAPK13
AGID00098 p38-MAPK-_pT180_Y182 R V MAPK14
AGID00151 p44-42-MAPK R V MAPK1
AGID00151 p44-42-MAPK R V MAPK3
AGID00051 p70-S6K1 R V RPS6KB1
AGID00052 p70-S6K_pT389 R V RPS6KB1
AGID00053 PAI-1 M V SERPINE1
AGID00323 PAK1 R V PAK1
AGID02199 PAK4 R V PAK4
AGID00551 PAK_pS474_S602_S560 R V PAK4
AGID00551 PAK_pS474_S602_S560 R V PAK5
AGID00551 PAK_pS474_S602_S560 R V PAK6
AGID00370 PARP R V PARP1
AGID00513 PAX6 R V PAX6
AGID00413 PD-1 R V PDCD1
AGID00210 PDH M V DLAT
AGID00324 PDHA1 R V PDHA1
AGID00056 PDK1 R V PDPK1
AGID00057 PDK1_pS241 R V PDPK1
AGID00124 PEA-15 R V PEA15
AGID00125 PEA-15_pS116 R V PEA15
AGID00440 PERK R V EIF2AK3
AGID00425 PHLPP R V PHLPP1
AGID00296 PKA-a R V PRKAR1A
AGID00259 PKC-a-b-II_pT638_T641 R V PRKCA
AGID00259 PKC-a-b-II_pT638_T641 R V PRKCB
AGID00163 PKC-b-II_pS660 R V PRKCA
AGID00163 PKC-b-II_pS660 R V PRKCB
AGID00163 PKC-b-II_pS660 R V PRKCD
AGID00163 PKC-b-II_pS660 R V PRKCE
AGID00163 PKC-b-II_pS660 R V PRKCH
AGID00163 PKC-b-II_pS660 R V PRKCQ
AGID00114 PKC-delta_pS664 R V PRKCD
AGID00172 PKCa R V PRKCA
AGID00512 PLC-gamma1 R V PLCG1
AGID00516 PLC-gamma1_pS1248 R V PLCG1
AGID02138 PLC-gamma2_pY759 R V PLCG2
AGID00203 PMS2 R V PMS2
AGID00207 Porin M V VDAC1
AGID00381 PR R V PGR
AGID00082 PRAS40_pT246 R V AKT1S1
AGID00190 PREX1 R V PREX1
AGID00061 PTEN R V PTEN
AGID00364 PTPN12 R V PTPN12
AGID00200 PYGB R V PYGB
AGID00169 Rab25 R V RAB25
AGID00521 Rad17_pS645 R V RAD17
AGID00261 Rad50 R V RAD50
AGID00158 Raptor R V RPTOR
AGID00164 RBM15 R V RBM15
AGID00060 Rb_pS807_S811 R V RB1
AGID00160 Rictor_pT1135 R V RICTOR
AGID00416 RPA32 R V RPA2
AGID00554 RSK1 R V RPS6KA1
AGID00353 S100A4 R V S100A4
AGID00330 S6 M V RPS6
AGID00062 S6_pS235_S236 R V RPS6
AGID00063 S6_pS240_S244 R V RPS6
AGID00157 SCD M V SCD
AGID00230 SDHA R V SDHA
AGID00161 SF2 M V SRSF1
AGID02179 SFRP1 R V SFRP1
AGID00431 SGK1 R V SGK1
AGID00430 SGK3 R V SGK3
AGID00376 SHP2 R V PTPN11
AGID00113 Smad1 R V SMAD1
AGID00091 Smad3 R V SMAD3
AGID02160 Smad4 R V SMAD4
AGID00325 SOD1 M V SOD1
AGID00380 SOD2 R V SOD2
AGID02130 Sox17 R V SOX17
AGID00298 Sox2 R V SOX2
AGID00569 SOX7 R V SOX7
AGID00066 Src M V SRC
AGID02157 Src_pY416 R V SRC
AGID00068 Src_pY527 R V SRC
AGID00517 Stat1_pY701 R V STAT1
AGID00069 Stat5a R V STAT5A
AGID00077 Stathmin-1 R V STMN1
AGID00357 STING R V STING1
AGID00128 Syk M V SYK
AGID00327 TAZ R V WWTR1
AGID00228 TFAM R V TFAM
AGID00165 TFRC R V TFRC
AGID00149 TIGAR R V TIGAR
AGID00109 Transglutaminase M V TGM2
AGID00406 TRAP1 M V TRAP1
AGID00426 TRIP13 R V TRIP13
AGID00144 TTF1 R V NKX2-1
AGID00071 Tuberin R V TSC2
AGID02194 Tuberin_pT1462 R V TSC2
AGID00417 TUFM R V TUFM
AGID00436 Tyro3 R V TYRO3
AGID00214 UBAC1 R V UBAC1
AGID00213 UGT1A M V UGT1A1
AGID00213 UGT1A M V UGT1A3
AGID00213 UGT1A M V UGT1A4
AGID00213 UGT1A M V UGT1A5
AGID00213 UGT1A M V UGT1A7
AGID00213 UGT1A M V UGT1A8
AGID00213 UGT1A M V UGT1A9
AGID00213 UGT1A M V UGT1A10
AGID00073 VASP R V VASP
AGID00074 VEGFR-2 R V KDR
AGID00231 Vinculin M V VCL
AGID00241 XPA M V XPA
AGID00089 YAP_pS127 R V YAP1
AGID00095 YB1_pS102 R V YBX1
AGID02183 YES1 R V YES1
AGID00432 ZEB1 R V ZEB1
